Mom,Word,Target,f1,f2,F1 mean,F2 mean,Vowel Duration,Pitch
 Mom8ADSboot6v.wav ,2,3,399,1717,,,0.112,204
 Mom8ADSboot7v.wav ,2,3,400,1691,,,0.176,207
 Mom8ADSboot8v.wav ,2,3,402,1940,,,0.127,198
,,,,,,,,
 Mom8IDSball10v.wav ,4,1,761,1546,782.538461538462,1388.69230769231,0.107,186
 Mom8IDSball11v.wav ,4,1,638,1390,,,0.174,340
 Mom8IDSball12v.wav ,4,1,659,1579,,,0.252,380
 Mom8IDSball13v.wav ,4,1,964,1695,,,0.244,483
 Mom8IDSball1v.wav ,4,1,877,1285,,,0.165,175
 Mom8IDSball2v.wav ,4,1,668,1251,,,0.221,193
 Mom8IDSball3v.wav ,4,1,887,1320,,,0.209,195
 Mom8IDSball4v.wav ,4,1,814,1254,,,0.199,207
 Mom8IDSball5v.wav ,4,1,683,1343,,,0.222,224
 Mom8IDSball6v.wav ,4,1,853,1298,,,0.172,212
 Mom8IDSball7v.wav ,4,1,800,1488,,,0.317,256
 Mom8IDSball8v.wav ,4,1,795,1299,,,0.255,278
 Mom8IDSball9v.wav ,4,1,774,1305,,,0.147,188
,,,,,,,,
 Mom8IDSbead10v.wav ,1,1,285,3013,323.214285714286,3006.85714285714,0.1,266
 Mom8IDSbead11v.wav ,1,1,313,2900,,,0.075,279
 Mom8IDSbead12v.wav ,1,1,335,3108,,,0.213,307
 Mom8IDSbead13v.wav ,1,1,382,3487,,,0.223,367
 Mom8IDSbead14v.wav ,1,1,259,3168,,,0.405,206
 Mom8IDSbead1v.wav ,1,1,240,2900,,,0.234,204
 Mom8IDSbead2v.wav ,1,1,320,2878,,,0.353,300
 Mom8IDSbead3v.wav ,1,1,375,2802,,,0.209,305
 Mom8IDSbead4v.wav ,1,1,351,2967,,,0.226,330
 Mom8IDSbead5v.wav ,1,1,263,2268,,,0.512,208
 Mom8IDSbead6v.wav ,1,1,365,3183,,,0.145,193
 Mom8IDSbead7v.wav ,1,1,382,3273,,,0.269,336
 Mom8IDSbead8v.wav ,1,1,319,3028,,,0.344,234
 Mom8IDSbead9v.wav ,1,1,336,3121,,,0.184,316
,,,,,,,,
 Mom8IDSboot10v.wav ,2,1,383,1442,385.666666666667,1379.16666666667,0.101,339
 Mom8IDSboot11v.wav ,2,1,443,904,,,0.147,434
 Mom8IDSboot12v.wav ,2,1,400,1664,,,0.125,199
 Mom8IDSboot1v.wav ,2,1,336,1423,,,0.177,334
 Mom8IDSboot2v.wav ,2,1,439,1178,,,0.136,400
 Mom8IDSboot3v.wav ,2,1,248,1412,,,0.151,206
 Mom8IDSboot4v.wav ,2,1,491,1342,,,0.144,251
 Mom8IDSboot5v.wav ,2,1,283,1541,,,0.08,262
 Mom8IDSboot6v.wav ,2,1,337,1430,,,0.109,322
 Mom8IDSboot7v.wav ,2,1,520,1230,,,0.108,331
 Mom8IDSboot8v.wav ,2,1,427,1582,,,0.134,209
 Mom8IDSboot9v.wav ,2,1,321,1402,,,0.147,283
,,,,,,,,
 Mom8PDSball10v.wav ,4,2,757,1155,668.818181818182,1183.27272727273,0.197,392
 Mom8PDSball11v.wav ,4,2,528,1367,,,0.128,185
 Mom8PDSball1v.wav ,4,2,705,1309,,,0.268,224
 Mom8PDSball2v.wav ,4,2,938,1359,,,0.213,251
 Mom8PDSball3v.wav ,4,2,630,1105,,,0.196,253
 Mom8PDSball4v.wav ,4,2,499,913,,,0.311,401
 Mom8PDSball5v.wav ,4,2,738,1417,,,0.109,303
 Mom8PDSball6v.wav ,4,2,749,1264,,,0.448,314
 Mom8PDSball7v.wav ,4,2,446,1025,,,0.141,314
 Mom8PDSball8v.wav ,4,2,705,1075,,,0.411,285
 Mom8PDSball9v.wav ,4,2,662,1027,,,0.213,333
,,,,,,,,
 Mom8PDSbead10v.wav ,1,2,408,3169,389.083333333333,3133.58333333333,0.203,288
 Mom8PDSbead11v.wav ,1,2,375,3110,,,0.436,271
 Mom8PDSbead12v.wav ,1,2,364,3112,,,0.114,345
 Mom8PDSbead1v.wav ,1,2,410,3069,,,0.65,209
 Mom8PDSbead2v.wav ,1,2,484,3090,,,0.218,254
 Mom8PDSbead3v.wav ,1,2,372,3165,,,0.253,362
 Mom8PDSbead4v.wav ,1,2,406,3206,,,0.137,392
 Mom8PDSbead5v.wav ,1,2,342,3076,,,0.324,333
 Mom8PDSbead6v.wav ,1,2,402,3113,,,0.08,260
 Mom8PDSbead7v.wav ,1,2,340,3205,,,0.254,300
 Mom8PDSbead8v.wav ,1,2,384,3098,,,0.144,286
 Mom8PDSbead9v.wav ,1,2,382,3190,,,0.127,270
,,,,,,,,
 Mom8PDSboot1v.wav ,2,2,463,1260,463,1298.375,0.241,403
 Mom8PDSboot2v.wav ,2,2,398,1256,,,0.184,247
 Mom8PDSboot3v.wav ,2,2,448,1268,,,0.069,236
 Mom8PDSboot4v.wav ,2,2,443,1479,,,0.119,362
 Mom8PDSboot5v.wav ,2,2,377,1312,,,0.233,245
 Mom8PDSboot6v.wav ,2,2,356,1272,,,0.175,351
 Mom8PDSboot7v.wav ,2,2,563,1171,,,0.1,297
 Mom8PDSboot8v.wav ,2,2,656,1369,,,0.133,477
,,,,,,,,
 Mom10ADSBall1v.wav ,4,3,729,1263,664.166666666667,1167.66666666667,0.304,183
 Mom10ADSball2v.wav ,4,3,611,1357,,,0.136,223
 Mom10ADSball3v.wav ,4,3,722,1028,,,0.196,197
 Mom10ADSball4v.wav ,4,3,794,1103,,,0.201,219
 Mom10ADSball5v.wav ,4,3,555,1183,,,0.201,192
 Mom10ADSball6v.wav ,4,3,574,1072,,,0.2,169
,,,,,,,,
 Mom10ADSBead1v.wav ,1,3,318,1866,285.375,2052.25,0.194,193
 Mom10ADSBead2v.wav ,1,3,251,2328,,,0.114,202
 Mom10ADSBead3v.wav ,1,3,279,1781,,,0.165,196
 Mom10ADSBead4v.wav ,1,3,235,2335,,,0.084,203
 Mom10ADSBead5v.wav ,1,3,298,1252,,,0.175,193
 Mom10ADSBead6v.wav ,1,3,262,2628,,,0.115,196
 Mom10ADSBead7v.wav ,1,3,293,2796,,,0.2,221
 Mom10ADSBead8v.wav ,1,3,347,1432,,,0.2,191
,,,,,,,,
 Mom10ADSBoot2v.wav ,2,3,367,1977,341.6,1884.8,0.086,195
 Mom10ADSBoot3v.wav ,2,3,369,2038,,,0.098,192
 Mom10ADSBoot4v.wav ,2,3,243,1676,,,0.203,212
 Mom10ADSBoot5v.wav ,2,3,376,1853,,,0.173,176
 Mom10ADSBoot6v.wav ,2,3,353,1880,,,0.149,205
,,,,,,,,
 Mom10IDSBall10v.wav ,4,1,712,1211,623.8,1217.4,0.173,353
 Mom10IDSBall1v.wav ,4,1,514,1216,,,0.236,244
 Mom10IDSBall2v.wav ,4,1,496,1473,,,0.295,259
 Mom10IDSBall3v.wav ,4,1,714,1248,,,0.166,230
 Mom10IDSBall4v.wav ,4,1,610,832,,,0.256,222
 Mom10IDSBall5v.wav ,4,1,661,1155,,,0.163,228
 Mom10IDSBall6v.wav ,4,1,735,1245,,,0.182,369
 Mom10IDSBall7v.wav ,4,1,603,1218,,,0.27,382
 Mom10IDSBall8v.wav ,4,1,581,1227,,,0.317,184
 Mom10IDSBall9v.wav ,4,1,612,1349,,,0.129,269
,,,,,,,,
 Mom10IDSbead10v.wav ,1,1,288,2331,360.8,2738.66666666667,0.137,255
 Mom10IDSbead11v.wav ,1,1,379,2843,,,0.321,362
 Mom10IDSbead12v.wav ,1,1,245,1865,,,0.142,196
 Mom10IDSbead13v.wav ,1,1,261,2910,,,0.213,194
 Mom10IDSbead14v.wav ,1,1,389,2996,,,0.241,355
 Mom10IDSbead15v.wav ,1,1,383,2861,,,0.279,251
 Mom10IDSbead1v.wav ,1,1,365,2847,,,0.467,284
 Mom10IDSbead2v.wav ,1,1,355,3081,,,0.322,256
 Mom10IDSbead3v.wav ,1,1,369,2908,,,0.187,356
 Mom10IDSbead4v.wav ,1,1,334,3108,,,0.168,229
 Mom10IDSbead5v.wav ,1,1,339,2945,,,0.157,211
 Mom10IDSbead6v.wav ,1,1,303,2146,,,0.268,269
 Mom10IDSbead7v.wav ,1,1,687,3048,,,0.239,307
 Mom10IDSbead8v.wav ,1,1,351,2503,,,0.248,178
 Mom10IDSbead9v.wav ,1,1,364,2688,,,0.375,218
,,,,,,,,
 Mom10IDSBoot10v.wav ,2,1,413,1707,380.090909090909,1689.72727272727,0.274,234
 Mom10IDSBoot11v.wav ,2,1,214,1532,,,0.298,209
 Mom10IDSBoot1v.wav ,2,1,316,1368,,,0.368,260
 Mom10IDSBoot2v.wav ,2,1,467,2021,,,0.138,353
 Mom10IDSBoot3v.wav ,2,1,285,1426,,,0.267,195
 Mom10IDSBoot4v.wav ,2,1,399,1902,,,0.161,207
 Mom10IDSBoot5v.wav ,2,1,310,1599,,,0.332,274
 Mom10IDSBoot6v.wav ,2,1,452,1772,,,0.111,364
 Mom10IDSBoot7v.wav ,2,1,500,1651,,,0.174,284
 Mom10IDSBoot8v.wav ,2,1,419,1846,,,0.167,255
 Mom10IDSBoot9v.wav ,2,1,406,1763,,,0.293,427
,,,,,,,,
 Mom10PDSBall10v.wav ,4,2,657,1083,825.545454545455,1277.45454545455,0.135,332
 Mom10PDSBall11v.wav ,4,2,915,1225,,,0.155,365
 Mom10PDSBall1v.wav ,4,2,858,1480,,,0.191,239
 Mom10PDSBall2v.wav ,4,2,982,1610,,,0.129,.
 Mom10PDSBall3v.wav ,4,2,701,1235,,,0.133,255
 Mom10PDSBall4v.wav ,4,2,523,1001,,,0.291,290
 Mom10PDSBall5v.wav ,4,2,848,1292,,,0.26,320
 Mom10PDSBall6v.wav ,4,2,1121,1643,,,0.126,217
 Mom10PDSBall7v.wav ,4,2,882,1324,,,0.145,299
 Mom10PDSBall8v.wav ,4,2,757,802,,,0.285,234
 Mom10PDSBall9v.wav ,4,2,837,1357,,,0.459,191
,,,,,,,,
 Mom10PDSbead10v.wav ,1,2,386,2239,320.181818181818,2778.54545454545,0.131,240
 Mom10PDSbead11v.wav ,1,2,381,2695,,,0.124,212
 Mom10PDSbead1v.wav ,1,2,288,3118,,,0.529,227
 Mom10PDSbead2v.wav ,1,2,227,2718,,,0.171,187
 Mom10PDSbead3v.wav ,1,2,275,2587,,,0.258,224
 Mom10PDSbead4v.wav ,1,2,413,3090,,,0.372,223
 Mom10PDSbead5v.wav ,1,2,381,2828,,,0.37,223
 Mom10PDSbead6v.wav ,1,2,314,2472,,,0.203,289
 Mom10PDSbead7v.wav ,1,2,339,3051,,,0.192,301
 Mom10PDSbead8v.wav ,1,2,298,2691,,,0.214,280
 Mom10PDSbead9v.wav ,1,2,220,3075,,,0.46,187
,,,,,,,,
 Mom10PDSboot10v.wav ,2,2,381,1766,340.5,1797.5,0.211,206
 Mom10PDSboot1v.wav ,2,2,290,1764,,,0.223,233
 Mom10PDSboot2v.wav ,2,2,465,2123,,,0.328,352
 Mom10PDSboot3v.wav ,2,2,270,1583,,,0.223,257
 Mom10PDSboot4v.wav ,2,2,392,1705,,,0.16,246
 Mom10PDSboot5v.wav ,2,2,273,1877,,,0.168,193
 Mom10PDSboot6v.wav ,2,2,425,1970,,,0.182,330
 Mom10PDSboot7v.wav ,2,2,319,1700,,,0.213,291
 Mom10PDSboot8v.wav ,2,2,331,1939,,,0.162,211
 Mom10PDSboot9v.wav ,2,2,259,1548,,,0.302,255
,,,,,,,,
 Mom1ADS2bead1v.wav ,1,3,497,3224,439.666666666667,3049.66666666667,0.385,261
 Mom1ADS2bead2v.wav ,1,3,469,3555,,,0.185,196
 Mom1ADS2bead3v.wav ,1,3,353,2370,,,0.299,143
,,,,,,,,
 Mom1ADS2boot1v.wav ,2,3,462,2229,433.6,2211.6,0.258,240
 Mom1ADS2boot2v.wav ,2,3,417,2259,,,0.331,191
 Mom1ADS2boot3v.wav ,2,3,437,2076,,,0.122,198
 Mom1ADS2boot4v.wav ,2,3,402,2164,,,0.202,164
 Mom1ADS2boot5v.wav ,2,3,450,2330,,,0.149,175
,,,,,,,,
 Mom1ADS2box1v.wav ,3,3,1038,1396,945.75,1441.25,0.284,208
 Mom1ADS2box2v.wav ,3,3,957,1419,,,0.131,166
 Mom1ADS2box3v.wav ,3,3,887,1380,,,0.346,198
 Mom1ADS2box4v.wav ,3,3,901,1570,,,0.166,175
,,,,,,,,
 Mom1IDSbead1v.wav ,1,1,354,2986,381.25,3081.5,0.464,247
 Mom1IDSbead2v.wav ,1,1,334,3200,,,0.388,177
 Mom1IDSbead3v.wav ,1,1,379,3070,,,0.433,174
 Mom1IDSbead4v.wav ,1,1,458,3070,,,0.323,144
,,,,,,,,
 Mom1IDSboot1v.wav ,2,1,497,2047,434.25,1654.25,0.278,426
 mom1IDSboot2v.wav ,2,1,432,1470,,,0.326,131
 Mom1IDSboot3v.wav ,2,1,412,1644,,,0.262,133
 Mom1IDSboot4v.wav ,2,1,396,1456,,,0.255,131
,,,,,,,,
 Mom1IDSbox1v.wav ,3,1,1558,3298,1127.2,1944,0.383,154
 Mom1IDSbox2v.wav ,3,1,831,1230,,,0.34,176
 Mom1IDSbox3v.wav ,3,1,1119,1584,,,0.274,187
 Mom1IDSbox4v.wav ,3,1,907,1414,,,0.244,231
 Mom1IDSbox5v.wav ,3,1,1221,2194,,,0.27,137
,,,,,,,,
 Mom1PDS2bead1v.wav ,1,2,411,3202,432,2715,0.372,291
 Mom1PDS2bead2v.wav ,1,2,499,3079,,,0.336,183
 Mom1PDS2bead3v.wav ,1,2,386,1864,,,0.312,187
,,,,,,,,
 Mom1PDSboot1v.wav ,2,2,438,2067,483,2020.42857142857,0.341,401
 Mom1PDSboot2v.wav ,2,2,530,1935,,,0.152,361
 Mom1PDSboot3v.wav ,2,2,433,1345,,,0.151,142
 Mom1PDS2boot4v.wav ,2,2,445,3037,,,0.297,411
 Mom1PDS2boot5v.wav ,2,2,691,1481,,,0.248,152
 Mom1PDS2boot6v.wav ,2,2,403,1827,,,0.312,128
 Mom1PDS2boot7v.wav ,2,2,441,2451,,,0.269,168
,,,,,,,,
 Mom1PDS2box1v.wav ,3,2,1054,1797,879.25,1620,0.235,256
 Mom1PDS2box2v.wav ,3,2,632,1547,,,0.183,307
 Mom1PDS2box3v.wav ,3,2,731,1452,,,0.221,131
 Mom1PDS2box4v.wav ,3,2,1100,1684,,,0.201,153
,,,,,,,,
 Mom2ADSbead1v.wav ,1,3,345,3014,345.25,2279.25,0.244,186
 Mom2ADSbead2v.wav ,1,3,258,1322,,,0.196,163
 Mom2ADSbead3v.wav ,1,3,443,2807,,,0.15,146
 Mom2ADSbead4v.wav ,1,3,335,1974,,,0.218,138
,,,,,,,,
 Mom2ADSboot1v.wav ,2,3,388,1798,387.5,1850.5,0.165,166
 Mom2ADSboot2v.wav ,2,3,368,1951,,,0.144,161
 Mom2ADSboot3v.wav ,2,3,413,1848,,,0.131,210
 Mom2ADSboot4v.wav ,2,3,381,1805,,,0.146,191
,,,,,,,,
 Mom2ADSbox1v.wav ,3,3,908,1329,768.8,1253.6,0.192,140
 Mom2ADSbox2v.wav ,3,3,814,1345,,,0.227,160
 Mom2ADSbox3v.wav ,3,3,617,1122,,,0.19,137
 Mom2ADSbox4v.wav ,3,3,746,1187,,,0.151,160
 Mom2ADSbox5v.wav ,3,3,759,1285,,,0.14,160
,,,,,,,0.138,161
 Mom2ADSbox5beadv.wav ,3,3,338,2850,,,0.183,146
,,,,,,,0.255,262
 Mom2ADSbox5bootv.wav ,3,3,338,1727,,,0.249,151
,,,,,,,,
 Mom2IDSbead1v.wav ,1,1,288,2085,357.833333333333,2858.33333333333,0.149,159
 Mom2IDSbead3v.wav ,1,1,363,3212,,,0.262,228
 Mom2IDSbead4v.wav ,1,1,321,3023,,,0.163,152
 Mom2IDSbead5v.wav ,1,1,449,3002,,,0.239,134
 Mom2IDSbead6v.wav ,1,1,319,2868,,,0.203,167
 Mom2IDSbead7v.wav ,1,1,407,2960,,,0.136,163
,,,,,,,,
 Mom2IDSboot1v.wav ,2,1,341,823,361.5,1031.5,0.181,205
 Mom2IDSboot2v.wav ,2,1,369,1295,,,0.177,145
 Mom2IDSboot3v.wav ,2,1,364,917,,,0.293,132
 Mom2IDSboot4v.wav ,2,1,372,1091,,,0.275,132
